Rank,Pos Rank,Player,Trends,Avg Pick,HI/LO,% Drafted
99,38,Quentin Johnston WR | LAC *,-6,100.6,83/136,94.8
100,12,Travis Kelce TE | KC *,4,101.55,70/132,96.7
101,14,Jaxson Dart QB | NYG *,-14,101.88,50/147,96.7
102,36,Jordan Mason RB | MIN *,11,102.82,72/137,96.2
103,39,Wan'Dale Robinson WR | TEN *,-15,103.25,74/150,92
104,37,Kyle Monangai RB | CHI *,-2,103.3,78/136,94.3
105,1,Brandon Aubrey K | DAL *,10,105.68,66/138,87.7
106,38,Jacory Croskey-Merritt RB | WAS *,1,106.13,83/139,96.7
107,40,Michael Wilson WR | ARI *,-2,107.76,77/148,92
108,15,Jared Goff QB | DET *,10,108.01,45/154,91.5
109,39,Blake Corum RB | LAR *,,108.18,80/138,96.2
110,41,Josh Downs WR | IND *,1,108.53,79/155,91
111,3,Rams DST | LAR *,9,109.74,73/144,89.2
112,4,Seahawks DST | SEA *,7,111.94,75/151,89.2
113,40,Aaron Jones RB | MIN *,-3,112.81,83/149,95.3
114,42,Jordyn Tyson WR | NO *,-19,112.93,75/166,82.5
115,43,Michael Pittman WR | PIT *,-3,113.84,83/148,88.7
116,44,Jakobi Meyers WR | JAC *,-17,115.49,84/160,92
117,45,Jordan Addison WR | MIN *,,117.27,86/152,90.1
118,41,Rachaad White RB | WAS *,-2,118.41,92/153,92.9
119,13,Jake Ferguson TE | DAL *,6,119.27,81/156,92.9
120,46,Makai Lemon WR | PHI *,-6,120.74,85/163,78.8
121,16,Bo Nix QB | DEN *,12,121.41,63/161,85.4
122,47,Stefon Diggs WR | WAS *,8,121.48,91/158,84
123,14,Mark Andrews TE | BAL *,3,121.58,85/160,89.2
124,2,Jason Myers K | SEA *,-2,121.64,79/162,87.7
125,15,Dalton Kincaid TE | BUF *,9,123.4,84/161,91.5
126,48,Deebo Samuel WR | SF,3,124.61,94/159,82.1
127,17,Baker Mayfield QB | TB *,8,125.27,77/161,83.5
128,49,Jayden Reed WR | GB *,-7,126.51,90/171,81.1
129,5,Eagles DST | PHI *,9,126.72,86/169,87.7
130,50,KC Concepcion WR | CLE *,-3,127.72,94/166,80.2
131,42,Tyrone Tracy Jr. RB | NYG *,-7,128.96,104/160,85.8
132,3,Ka'imi Fairbairn K | HOU *,7,129.09,79/161,87.7
133,43,Zach Charbonnet RB | SEA *,-5,129.43,92/166,79.2
134,6,Vikings DST | MIN *,9,132.01,91/170,85.8
135,44,Alvin Kamara RB | NO *,6,132.3,93/170,79.7
136,18,Kyler Murray QB | MIN *,9,132.46,89/166,76.4
137,45,Chris Rodriguez Jr. RB | JAC *,-5,134.24,101/174,75.5
138,51,Xavier Worthy WR | KC *,-15,134.88,100/169,76.4
139,52,De'Zhaun Stribling WR | SF *,64,134.94,91/193,65.1
140,53,Matthew Golden WR | GB *,-3,136.48,104/178,63.7
141,4,Cameron Dicker K | LAC *,9,137.36,96/170,87.3
142,19,Sam Darnold QB | SEA *,11,137.52,88/178,57.1
143,16,Brenton Strange TE | JAC *,8,137.96,102/176,75
144,46,Woody Marks RB | HOU *,2,138.97,105/176,76.4
145,54,Tank Dell WR | HOU *,-1,138.99,102/173,73.1
146,47,Isiah Pacheco RB | DET *,-4,139.96,105/169,75
147,55,Khalil Shakir WR | BUF *,-16,140.17,104/179,59
148,20,Jordan Love QB | GB *,8,140.74,90/179,57.5
149,56,Romeo Doubs WR | NE *,-13,142.18,101/180,63.7
150,57,Rashid Shaheed WR | SEA *,-3,142.45,105/180,70.3
151,48,Tyjae Spears RB | TEN *,-2,142.79,111/176,69.3
152,7,Steelers DST | PIT *,9,142.8,103/183,81.1
153,58,Jayden Higgins WR | HOU *,-13,143.1,111/188,53.3
154,21,Tyler Shough QB | NO *,1,143.63,90/180,59.9
155,8,Patriots DST | NE *,22,145.05,102/179,80.2
156,59,Jalen Coker WR | CAR *,-8,145.49,112/189,64.2
157,17,Juwan Johnson TE | NO *,1,145.71,108/179,66.5
158,22,Daniel Jones QB | IND *,1,147.41,100/185,50
159,23,Malik Willis QB | MIA *,5,147.47,101/192,47.2
160,49,Tyler Allgeier RB | ARI *,-6,147.86,111/188,55.7
161,9,Ravens DST | BAL *,10,149.1,104/189,72.2
162,5,Cam Little K | JAC *,8,150.65,100/183,79.7
163,10,Lions DST | DET *,23,150.65,105/192,52.4
164,6,Jake Bates K | DET *,3,151.22,106/187,79.7
165,50,Keaton Mitchell RB | LAC *,-8,152.27,113/198,37.3
166,11,Chargers DST | LAC *,25,152.59,104/199,75.5
167,60,Jalen Nailor WR | LV *,-15,153.32,115/185,33.5
168,51,Dylan Sampson RB | CLE *,-3,153.38,122/187,52.4
169,61,Denzel Boston WR | CLE *,-3,153.99,115/188,47.6
170,24,C.J. Stroud QB | HOU *,25,154.33,98/187,39.2
171,7,Nick Folk K | ATL *,11,154.68,109/193,57.1
172,18,Hunter Henry TE | NE *,3,154.73,111/187,51.4
173,62,Tre Tucker WR | LV *,-10,154.96,119/194,39.2
174,8,Blake Grupe K | IND *,2,155.42,104/193,65.6
175,19,Oronde Gadsden II TE | LAC *,6,155.6,96/194,25.5
176,63,Ja'Kobi Lane WR | BAL *,,156.11,113/201,25.5
177,52,MarShawn Lloyd RB | GB *,,156.39,120/191,32.1
178,9,Harrison Mevis K | LAR *,,156.52,117/192,68.4
179,12,Falcons DST | ATL *,,156.65,114/199,31.1
180,13,Saints DST | NO *,27,156.95,110/203,34.4
181,14,Jaguars DST | JAC *,16,156.96,121/207,56.1
182,53,Jonah Coleman RB | DEN *,-8,157.17,95/199,32.5
183,64,Jerry Jeudy WR | CLE *,-23,157.18,118/190,35.4
184,20,Chigoziem Okonkwo TE | WAS *,-15,157.49,126/190,36.8
185,21,Dalton Schultz TE | HOU *,19,157.55,123/194,47.6
186,54,Brian Robinson Jr. RB | ATL *,1,158.15,119/193,38.2
187,55,Tank Bigsby RB | PHI *,-2,158.18,118/194,44.8
188,10,Harrison Butker K | KC *,26,159.58,109/206,35.8
189,56,Jordan James RB | SF *,-27,159.87,115/206,47.6
190,22,Kenyon Sadiq TE | NYJ *,-7,160.04,120/201,39.6
191,11,Cairo Santos K | CHI *,11,160.06,118/215,57.1
192,65,Rashod Bateman WR | BAL *,,161.17,97/204,22.6
193,12,Tyler Loop K | BAL *,18,161.71,122/204,45.3
194,13,Chase McLaughlin K | TB *,11,161.76,128/203,42.5
195,57,Braelon Allen RB | NYJ *,-6,161.91,124/216,28.3
196,66,Cooper Kupp WR | SEA *,-4,161.92,121/200,27.4
197,67,Omar Cooper Jr. WR | NYJ *,-29,162.07,123/209,22.6
198,14,Wil Lutz K | DEN *,,162.18,110/206,24.5
199,23,Greg Dulcich TE | MIA *,-15,162.52,119/205,26.9
200,15,Bears DST | CHI *,,162.61,125/206,25
201,58,Mike Washington Jr. RB | LV *,,162.78,115/223,26.9
202,15,Eddy Pineiro K | SF *,-2,162.91,126/210,45.8
203,68,Jauan Jennings WR | MIN *,-23,163.07,123/192,33
204,16,Packers DST | GB *,,163.22,120/226,27.4
205,17,Bills DST | BUF *,11,163.62,124/220,30.7
206,24,T.J. Hockenson TE | MIN *,-7,163.74,106/202,25.5
207,59,Kaelon Black RB | SF *,-34,163.92,135/215,34
208,16,Will Reichard K | MIN *,5,164.59,104/208,42
209,17,Chris Boswell K | PIT *,,164.89,131/210,20.3
210,18,Evan McPherson K | CIN *,,165.05,125/210,32.1
211,18,Chiefs DST | KC *,,166.08,119/222,29.2
212,19,Browns DST | CLE *,-3,166.13,127/220,28.8
213,69,Calvin Ridley WR | TEN *,-12,166.26,136/202,35.4
214,60,James Conner RB | ARI *,-26,166.39,134/212,32.1
215,61,Justice Hill RB | BAL *,-7,166.43,128/198,25.5
216,25,Cade Otton TE | TB *,-4,167.11,130/201,28.8
217,26,AJ Barner TE | SEA *,,168.95,118/213,22.2
